year,Item_EN,Item_AR,Type_EN,Type_AR,USD_Million
2014,     Gas Exports,     الغاز,Credit,دائن,13015.65690946222
2014,     Other Exports,     صادرات أخرى,Credit,دائن,36002.45064669844
2014,     Free Zone Exports,     صادرات المناطق الحرة,Credit,دائن,64724.302246426145
2014,     Re Exports,     إعادة التصدير,Credit,دائن,140449.2852280463
2014,Total Imports ( CIF ),جملة الواردات السلعية (CIF):,Credit,دائن,nan
2014,Emirates Imports - CIF,     واردات الإمارات (CIF),Credit,دائن,nan
2014,Free Zone Imports  - CIF,     واردات المناطق الحرة (CIF),Credit,دائن,nan
2014,Total Imports ( FOB ),إجمالى الواردات (FOB),Credit,دائن,nan
2014,"Total imports, service",جملة الواردات الخدمية,Credit,دائن,nan
2014,Total imports of goods and services (CIF),إجمالى الواردات السلعية والخدمية (CIF),Credit,دائن,nan
2014,Services ( NET ),الخدمات (صافى),Credit,دائن,-26385.296119809394
2014,     Services,     الخدمات  ,Credit,دائن,56528.2505105514
2014,     Travel,     السياحة,Credit,دائن,15221.238938053099
2014,     Transport,     النقل,Credit,دائن,23744.043567052417
2014,Government Services,الخدمات الحكومية(نفقات البعثات الدبلوماسية ),Credit,دائن,844.1116405718176
2014,Other Services,خدمات أخرى,Credit,دائن,16718.856364874064
2014,Fright and Insurance,نفقات الشحن والتأمين,Credit,دائن,nan
2014,Investment Income  ( NET ),دخل الإستثمارات (صافى),Credit,دائن,658.9516678012253
2014,     Financial Entities + Pvt. non banks,     الكيانات المالية,Credit,دائن,8201.497617426821
2014,     Foreign Partners(Hydrocarbon Comps.),     الشركاء الأجانب,Credit,دائن,nan
2014,Transfers ( NET ),تحويلات (صافية),Credit,دائن,-28155.207624234175
2014,     Private,     خاصة,Credit,دائن,nan
2014,     Public,     عامة,Credit,دائن,nan
2014,Current Account Balance ,ميزان الحساب الجارى,Credit,دائن,53652.55275697754
2014,Trade Balance (CIF),الميزان التجارى(CIF),Debit,مدين,nan
2014,Trade Balance (FOB),الميزان التجارى (FOB),Debit,مدين,nan
2014,Total Exports & Re Exports,إجمالى الصادرات السلعية وإعادة التصدير,Debit,مدين,nan
2014,Total exports of goods and services:,إجمالى الصادرات السلعية والخدمية:,Debit,مدين,nan
2014,Crude Oil Exports,     النفط الخام,Debit,مدين,nan
2014,     Petroleum Products Exports,     المنتجات النفطية,Debit,مدين,nan
2014,     Gas Exports,     الغاز,Debit,مدين,nan
2014,     Other Exports,     صادرات أخرى,Debit,مدين,nan
2014,     Free Zone Exports,     صادرات المناطق الحرة,Debit,مدين,nan
2014,     Re Exports,     إعادة التصدير,Debit,مدين,nan
2014,Total Imports ( CIF ),جملة الواردات السلعية (CIF):,Debit,مدين,276024.50646698434
2014,Emirates Imports - CIF,     واردات الإمارات (CIF),Debit,مدين,195561.60653505786
2014,Free Zone Imports  - CIF,     واردات المناطق الحرة (CIF),Debit,مدين,80462.89993192648
2014,Total Imports ( FOB ),إجمالى الواردات (FOB),Debit,مدين,235507.1477195371
2014,"Total imports, service",جملة الواردات الخدمية,Debit,مدين,82913.5466303608
2014,Total imports of goods and services (CIF),إجمالى الواردات السلعية والخدمية (CIF),Debit,مدين,358938.05309734517
2014,Services ( NET ),الخدمات (صافى),Debit,مدين,nan
2014,     Services,     الخدمات  ,Debit,مدين,82913.5466303608
2014,     Travel,     السياحة,Debit,مدين,15847.515316541865
2014,     Transport,     النقل,Debit,مدين,16337.644656228727
2014,Government Services,الخدمات الحكومية(نفقات البعثات الدبلوماسية ),Debit,مدين,1116.4057181756298
2014,Other Services,خدمات أخرى,Debit,مدين,9094.622191967324
2014,Fright and Insurance,نفقات الشحن والتأمين,Debit,مدين,40517.358747447244
2014,Investment Income  ( NET ),دخل الإستثمارات (صافى),Debit,مدين,nan
2014,     Financial Entities + Pvt. non banks,     الكيانات المالية,Debit,مدين,nan
2014,     Foreign Partners(Hydrocarbon Comps.),     الشركاء الأجانب,Debit,مدين,7542.545949625596
2014,Transfers ( NET ),تحويلات (صافية),Debit,مدين,nan
2014,     Private,     خاصة,Debit,مدين,6072.15793056501
2014,     Public,     عامة,Debit,مدين,22083.049693669163
2014,Current Account Balance ,ميزان الحساب الجارى,Debit,مدين,nan
2015,Trade Balance (CIF),الميزان التجارى(CIF),Credit,دائن,37059.22396187883
2015,Trade Balance (FOB),الميزان التجارى (FOB),Credit,دائن,76569.09462219197
2015,Total Exports & Re Exports,إجمالى الصادرات السلعية وإعادة التصدير,Credit,دائن,300476.51463580667
2015,Total exports of goods and services:,إجمالى الصادرات السلعية والخدمية:,Credit,دائن,361252.55275697756
2015,Crude Oil Exports,     النفط الخام,Credit,دائن,31558.883594281826
2015,     Petroleum Products Exports,     المنتجات النفطية,Credit,دائن,22273.65554799183
2015,     Gas Exports,     الغاز,Credit,دائن,7651.46358066712
2015,     Other Exports,     صادرات أخرى,Credit,دائن,43893.80530973452
2015,     Free Zone Exports,     صادرات المناطق الحرة,Credit,دائن,60258.67937372362
2015,     Re Exports,     إعادة التصدير,Credit,دائن,134840.02722940777
2015,Total Imports ( CIF ),جملة الواردات السلعية (CIF):,Credit,دائن,nan
2015,Emirates Imports - CIF,     واردات الإمارات (CIF),Credit,دائن,nan
2015,Free Zone Imports  - CIF,     واردات المناطق الحرة (CIF),Credit,دائن,nan
2015,Total Imports ( FOB ),إجمالى الواردات (FOB),Credit,دائن,nan
2015,"Total imports, service",جملة الواردات الخدمية,Credit,دائن,nan
2015,Total imports of goods and services (CIF),إجمالى الواردات السلعية والخدمية (CIF),Credit,دائن,nan
2015,Services ( NET ),الخدمات (صافى),Credit,دائن,-21102.79101429544
2015,     Services,     الخدمات  ,Credit,دائن,60776.038121170866
2015,     Travel,     السياحة,Credit,دائن,17481.27978216474
2015,     Transport,     النقل,Credit,دائن,23417.290673927844
2015,Government Services,الخدمات الحكومية(نفقات البعثات الدبلوماسية ),Credit,دائن,871.3410483321989
2015,Other Services,خدمات أخرى,Credit,دائن,19006.126616746085
2015,Fright and Insurance,نفقات الشحن والتأمين,Credit,دائن,nan
2015,Investment Income  ( NET ),دخل الإستثمارات (صافى),Credit,دائن,1742.6820966643977
2015,     Financial Entities + Pvt. non banks,     الكيانات المالية,Credit,دائن,8168.822328114364
2015,     Foreign Partners(Hydrocarbon Comps.),     الشركاء الأجانب,Credit,دائن,nan
2015,Transfers ( NET ),تحويلات (صافية),Credit,دائن,-39646.017699115044
2015,     Private,     خاصة,Credit,دائن,nan
2015,     Public,     عامة,Credit,دائن,nan
2015,Current Account Balance ,ميزان الحساب الجارى,Credit,دائن,17562.96800544588
2015,Trade Balance (CIF),الميزان التجارى(CIF),Debit,مدين,nan
2015,Trade Balance (FOB),الميزان التجارى (FOB),Debit,مدين,nan
2015,Total Exports & Re Exports,إجمالى الصادرات السلعية وإعادة التصدير,Debit,مدين,nan
2015,Total exports of goods and services:,إجمالى الصادرات السلعية والخدمية:,Debit,مدين,nan
2015,Crude Oil Exports,     النفط الخام,Debit,مدين,nan
2015,     Petroleum Products Exports,     المنتجات النفطية,Debit,مدين,nan
2015,     Gas Exports,     الغاز,Debit,مدين,nan
2015,     Other Exports,     صادرات أخرى,Debit,مدين,nan
2015,     Free Zone Exports,     صادرات المناطق الحرة,Debit,مدين,nan
2015,     Re Exports,     إعادة التصدير,Debit,مدين,nan
2015,Total Imports ( CIF ),جملة الواردات السلعية (CIF):,Debit,مدين,263417.29067392787
2015,Emirates Imports - CIF,     واردات الإمارات (CIF),Debit,مدين,188291.3546630361
2015,Free Zone Imports  - CIF,     واردات المناطق الحرة (CIF),Debit,مدين,75125.93601089176
2015,Total Imports ( FOB ),إجمالى الواردات (FOB),Debit,مدين,223907.4200136147
2015,"Total imports, service",جملة الواردات الخدمية,Debit,مدين,81878.82913546631
2015,Total imports of goods and services (CIF),إجمالى الواردات السلعية والخدمية (CIF),Debit,مدين,345296.1198093942
2015,Services ( NET ),الخدمات (صافى),Debit,مدين,nan
2015,     Services,     الخدمات  ,Debit,مدين,81878.82913546631
2015,     Travel,     السياحة,Debit,مدين,16637.16814159292
2015,     Transport,     النقل,Debit,مدين,13750.850918992512
2015,Government Services,الخدمات الحكومية(نفقات البعثات الدبلوماسية ),Debit,مدين,1198.0939414567733
2015,Other Services,خدمات أخرى,Debit,مدين,10782.84547311096
